Titolo,Link,Prompt Title,Contenuto
"⌚ AI is coming to Samsung's watch, ring, and more",https://www.superhuman.ai/p/ai-coming-samsungs-watch-ring,Titolo del prompt non trovato.,Create a google calendar clone.
Why Americans want AI companies to slow down,https://www.superhuman.ai/p/americans-want-ai-companies-slow,Jobs-to-be-done,"Prompt: Assume I'm a Product Manager for a [insert product here, ex: grocery delivery mobile app]. It will be serving the [insert region here, example: Toronto GTA region] only. I want to conduct some consumer research to figure out my consumer's jobs-to-be-done.

What personas should I target and then what questions should I be asking them to elicit their job-to-be-done. Take inspiration from the book ""Mom Test""."
💪 Staying healthy with AI,https://www.superhuman.ai/p/staying-healthy-ai,Problem-Solving,Prompt: I am currently facing [name of challenge] in my department. I have already tried/considered [your solution]. Give me five ideas to address [name of challenge] that are unique and different to what I have already done.
Generating new materials with AI,https://www.superhuman.ai/p/generating-new-materials-ai,Titolo del prompt non trovato.,Createasimplevisualizationshowingmesupplychainmanagementprocess
A voicebot tells callers it's human,https://www.superhuman.ai/p/voicebot-tells-callers-human,Friday Funday - Speak to your favorite characters,"Prompt: I want you to act like [insert character] from [insert series]. I want you to respond and answer like [character] using the tone, manner and vocabulary [character] would use. Do not write any explanations. Only answer like [character]. You must know all of the knowledge of [character]. My first sentence is ""Hi [character].""

Examples: Character: Harry Potter, Series: Harry Potter Series, Character: Darth Vader, Series: Star Wars etc."
Rethinking the way we test AI models,https://www.superhuman.ai/p/rethinking-way-test-ai-models,July 4th BBQ,"Prompt: You are hosting a 4th of July BBQ for 25 people. 16 of those are adults, many of whom
are foodies, but there should be kid-friendly options as well. Create a menu for the BBQ including appetizers, sides and desserts. Include some items that can be made or prepped ahead of time

Follow-up prompt: If the people are arriving at 2PM and we want to serve the main dinner at 5PM, create a timeline and schedule for food preparation and cooking"
Training AI with the energy of a lightbulb💡,https://www.superhuman.ai/p/training-ai-energy-lightbulb,Titolo del prompt non trovato.,"Create an interactive and detailed dashboard to present the 
learnings from this research paper. Make it look good and professional."
OpenAI's plan to make AI more accurate,https://www.superhuman.ai/p/openais-plan-make-ai-accurate,Literary Critic,"Prompt: I want you to act as a language literary critic. I will provide you with some excerpts from literature work. You should provide analyze it under the given context, based on aspects including its genre, theme, plot structure, characterization, language and style, and historical and cultural context. You should end with a deeper understanding of its meaning and significance. My first request is ""To be or not to be, that is the question."""
Intel is bringing AI to the Olympics,https://www.superhuman.ai/p/intel-bringing-ai-olympics,Friday Funday – Game Night,"Prompt: I’m developing dialogues for characters in a mystery-themed game. Describe the [central storyline and setting], introduce the main [characters and their backgrounds], and then craft dialogues that convey [plot twists or vital information]."
🔦 Shedding light on history with AI,https://www.superhuman.ai/p/shedding-light-history-ai,Memorization Techniques,"Prompt: In an overview style, but then in-depth, what are the most important figures, facts, things to know, or similar that I have to know in relation to [Insert Topic here].

After that, help me create a memorization technique that will help me to remember this information later."
Hunting for AI's security vulnerabilities,https://www.superhuman.ai/p/hunting-ais-security-vulnerabilities,Cybersecurity for all,"Prompt: Craft a detailed proposal emphasizing the importance of cybersecurity. Pitch this proposal to a [insert company here, for ex: hospital chain], highlighting the immense benefits of ensuring patient data security, and pinpointing the risks like [data breaches, patient privacy, and legal implications] that they might face without these services."
The limits of using the web to train AI,https://www.superhuman.ai/p/limits-using-web-train-ai,Self-help,"Prompt: I want you to act as a self-help book. You will provide me with advice and tips on how to improve certain areas of my life, such as relationships, career development, or financial planning. For example, if I am struggling in my relationship with a significant other, you could suggest helpful communication techniques that can bring us closer together. My first request is “I need help staying motivated during difficult times”."
Apple's AI push takes a turn,https://www.superhuman.ai/p/apple-struggles-bring-ai-china,Recruiter Onboarding,"Prompt: I want you to act as a recruiter. I will provide some information about job openings, and it will be your job to come up with strategies for sourcing qualified applicants. This could include reaching out to potential candidates through social media, networking events or even attending career fairs in order to find the best people for each role."
A new model is said to best GPT-4o,https://www.superhuman.ai/p/fri-june-21,Friday Funday - Time Travel,"Prompt: I want you to act as my time travel guide. I will provide you with the historical period or future time I want to visit and you will suggest the best events, sights, or people to experience. Do not write explanations, simply provide suggestions and any necessary information. My first request is “I want to visit the Renaissance period, can you suggest some interesting events, sights, or people for me to experience?“"
Ilya returns with a new company to take on OpenAI,https://www.superhuman.ai/p/ilya-returns-new-company-take-openai,Titolo del prompt non trovato.,Contenuto non trovato.
Why farmers are turning to AI for help,https://www.superhuman.ai/p/farmers-turning-ai-help,Quiz Time,"Prompt: You are a quiz master and are going to ask me 10 questions on the subject of [insert subject]. You will ask them one at a time, and wait for my response. After each response tell me if I am right or wrong. At the end of the quiz, give me my score and ask me whether I would like to try again"
How AI could help us avoid traffic jams,https://www.superhuman.ai/p/ai-help-us-avoid-traffic-jams,Weekly Workout Challenge Generator,You are an expert fitness coach. I am [mention the problem you’re facing in detail with context]. Generate a challenging yet engaging ‘Workout Challenge of the Week’ focused on [state fitness goal]. Ensure it’s suitable for someone with access to [mention available equipment or no equipment]. I want you to [mention how you want the output in detail with examples].
How AI could help protect Olympians,https://www.superhuman.ai/p/ai-help-protect-olympians,Titolo del prompt non trovato.,"Prompt: The installation art depicts the image of a beautiful woman in a dense forest, which is made of thin white wires. It has both an abstract and artistic feel, expressing the relationship between man and nature.
--ar 2:3"
AI-powered career coaches are coming to LinkedIn,https://www.superhuman.ai/p/aipowered-career-coaches-coming-linkedin,Friday Funday - Double Features,"Prompt: Create a list of the best double features out there. Some examples: ""Drive"" and ""Nightcrawler,"" ""Knives Out"" and ""Ready or Not,"" ""Plus One"" and ""Palm Springs."""
ChatGPT becomes a court clerk,https://www.superhuman.ai/p/chatgpt-becomes-court-clerk,Gardening made easy,"Prompt: I have 4 raised garden beds, 3.5ft wide by 6.5ft long. Using the square foot garden method, can you create a list of items that work well together in each bed, factoring in companion plants? 

Please include: basil, fennel, tomatoes (large and small, 2 varieties of each), cucamelons, brussel sprouts, sweet peppers, poblanos, strawberries, cucumbers, broccoli, broccolini, parsley, cilantro, dill, nasturtium, strawberry, onions, scallions, cabbage, and any others that may work. Please include one climbing plant in each bed, and indicate which items should go in which rows in each bed, perhaps in a table."
Apple's AI features are all about accessibility,https://www.superhuman.ai/p/apples-ai-features-accessibility,Shopping made easy,"Prompt: I want you to act as my personal shopper. I will tell you my budget and preferences, and you will suggest items for me to purchase. You should only reply with the items you recommend, and nothing else. Do not write explanations. My first request is ""I have a budget of [enter amount here, for ex: $200] and I am looking for [enter item here, for ex: a dress] for [enter event here, for ex: a black-tie wedding]."""
The iPhone is finally getting AI features,https://www.superhuman.ai/p/iphone-finally-getting-ai-features,Artist Advisor,"Prompt: I want you to act as an artist advisor providing advice on various art styles such as tips on utilizing light&shadow effects effectively in painting, shading techniques while sculpting etc., Also suggest a music piece that could accompany the artwork nicely depending upon its genre/style type along with appropriate reference images demonstrating your recommendations; all of this is meant in order to help out aspiring artists explore new creative possibilities&practice ideas which will further help them sharpen their skills accordingly! First request - “I’m making surrealistic portrait paintings”"
Generative AI job listings soared this year 📈,https://www.superhuman.ai/p/generative-ai-job-listings-soared-year,Networking and Pivoting,"Prompt: I am considering a career transition into the field of (specify field or role). What steps should I take to smoothly transition while leveraging my existing skills and experiences? I also want to build a strong network in this (specify industry or field). Could you guide me on where to start, how to approach industry professionals, and maintain these connections for the long term?"
Using AI and sound to preserve coral reefs 🪸,https://www.superhuman.ai/p/using-ai-sound-preserve-coral-reefs,Friday Funday - Summer Camp,"Prompt: We're planning a big campfire night at our summer camp, and we want it to be a memorable experience for the campers. The event will have storytelling, marshmallow roasting, and a small fireworks display. Can you provide a step-by-step guide on how to organize and execute this campfire night to ensure it is both safe and enjoyable for everyone? Include logistical considerations, safety precautions, and how to engage the campers in the activities."
How AI is helping personalize medical care,https://www.superhuman.ai/p/ai-helping-personalize-medical-care,Titolo del prompt non trovato.,I want to build a custom GPT that can analyze simple language and turn it into Excel formulas for spreadsheets
AI workers have a lot to say,https://www.superhuman.ai/p/ai-workers-lot-say,"Project Managers, rejoice!","Prompt: Develop a stakeholder communication plan for our [insert project name and details here, ex: healthcare IT implementation project]. Outline the key stakeholders, communication objectives, channels, and frequency of updates."
AI took the mic at Computex,https://www.superhuman.ai/p/ai-took-mic-computex,"Personal Goals, Reached","Prompt: [Describe your personal development goals and challenges].

Using the GROW(Goal, Reality, Options, Will) coaching model, help me create a personal development plan to achieve my goals."
Exploring the brain with VR,https://www.superhuman.ai/p/exploring-brain-vr,Email Assistant,Prompt:  I received an email from [name of the person or company] regarding [subject or main content of the email]. Can you pull out the key points from it and summarize it for me? I have a presentation on [specific date] and might need to include this information.
Why Nvidia was left out of a new tech consortium,https://www.superhuman.ai/p/nvidia-left-new-tech-consortium,Friday Funday – Weekend Trip,"Prompt: You are my travel agent. Give me five ideas for a weekend trip from [YOUR CITY] that are within a two-hour drive. I will be traveling during [DATES/MONTH] with [TRAVEL COMPANIONS], and we enjoy things like [ACTIVITY], [ACTIVITY], and [TYPE OF EXPERIENCE]. Ask me five questions that would help you do a better job of helping me pick a place."
AI helps a bilingual patient communicate again,https://www.superhuman.ai/p/ai-helps-bilingual-patient-communicate,Data Privacy Specialist,"Prompt: Act like a data privacy specialist. Summarize the General Data Protection Regulation (GDPR) requirements for a small business. Then, come up with a detailed plan and comprehensive privacy policy for a small business to follow to remain compliant."
Safety or progress at OpenAI,https://www.superhuman.ai/p/safety-progress-openai,Time-saving automation,"Prompt: My business is [describe your business] and my tasks include [describe the tasks in your role]. For each task, ask how this task is currently being completed and ascertain if this task could be automated. Once we identify tasks that might benefit from automation, create a 3-column table with these column headers: task, process now, process with automation. In column 2, outline these processes in detail, and in column 3 create a plan for how each task could be automated. This structured approach will help me automate my business or prepare to work with an AI expert to implement time-saving automation."
Canva wants to make everyone a designer,https://www.superhuman.ai/p/canva-wants-make-everyone-designer,Estate Planning 101,"Prompt: Estate planning and creating a will are important, but I don’t know where to start. Can you help?"
An AI tool that decodes babies' needs,https://www.superhuman.ai/p/ai-tool-decodes-babies-needs,No Summer camp? No problem.,Prompt: What recommendations do you have on meaningful or possibly impactful independent research projects high school students (ages 14-17) can do without mentors or supervision during summer?
The biggest announcements from Microsoft Build,https://www.superhuman.ai/p/biggest-announcements-microsoft-build,Friday Funday – What to read this weekend,"Prompt: You are a bookseller with a kind nature and wide understanding of a variety of genres. I'm in the mood for a new book to read. Can you recommend 3 books in different genres based on the following prompt: [Enter ideal genre here, ex: A story set in a dystopian future where emotions are outlawed.]"
Researchers are closer to solving how AI 'thinks',https://www.superhuman.ai/p/researchers-closer-solving-ai-thinks,Develop your coding skills,"Prompt: Take this [Java or other language] code and rewrite it into the [C++ or any desired Language], ensuring that functionality remains consistent."
Why experts are divided over this week's safety gathering,https://www.superhuman.ai/p/experts-divided-weeks-safety-gathering,Architecture 101,"Prompts: 

> Discuss the role of natural light and ventilation in promoting occupant well-being in residential architecture.

>How can we create flexible, multi-functional spaces in a small urban apartment?"
All the features coming to Microsoft's AI PCs,https://www.superhuman.ai/p/features-coming-microsofts-ai-pcs,UX Interviews,"Prompt: Generate a set of user interview questions aimed at understanding the user experience of an e-commerce website. Focus on elements like ease of navigation, search functionality, and checkout."
Why OpenAI's safety leaders are leaving,https://www.superhuman.ai/p/openais-safety-leaders-leaving,Social Media Scheduling,"Prompt: Create a social media schedule: You are an expert social media manager. I want you to create a schedule for social media posts over one month, starting from [insert date that schedule will start]. The frequency of posting will be [daily/every two days/every weekday/weekly]. My business is called [insert name] and we sell [insert products or services]. For each post, include the day it will be published, a heading, body text and include relevant hashtags. The tone of voice we use is [professional/casual/funny/friendly]. For each post, also include a suggestion for an image that we can use that could be found on a stock image service."
Which nation gets to control AI?,https://www.superhuman.ai/p/nation-gets-control-ai,Friday FunDay,Prompt: Start a game of ’20 Questions.’ You can ask me yes or no questions to try and guess the word I’m thinking of. I’ll give you a hint: it’s a type of fruit.
The internet is preparing for a seismic shift,https://www.superhuman.ai/p/internet-preparing-seismic-shift,Interview Follow-Up,"Prompt: I had an interview this morning and it went well. I really want the job. Please write a professional thank you email to the interviewer for [job title]. The interview took place on [date] at [time]. Express gratitude, highlight that I was impressed with the team and company culture and that I am confident I will thrive in the role. Reiterate relevant experience or qualifications, restate my interest and ask about next steps. Also reference that we have a shared love of dogs."
Google brings the heat with new announcements,https://www.superhuman.ai/p/ai-announcements-just-keep-coming,Titolo del prompt non trovato.,"Prompt: mountaineers climbing Mount Everest, adventure, in the style of Studio Ghibli, flat illustration, vector, travel poster, realistic colors, bestseller, high light contrast and long shadows, fluffy clouds
--style raw --ar 3:4 --stylize 50"
OpenAI's new model talks like a human,https://www.superhuman.ai/p/openais-new-model-talks-like-human,Better than a ghostwriter,"Prompt: Help me structure a subplot for my novel. The main story is about [give the main plot of your novel], but I want to introduce a subplot involving [specify characters or themes, e.g., ‘the protagonist’s estranged sibling’, ‘a mysterious artifact’]. This subplot should touch on themes like [mention themes you want to explore, e.g., ‘redemption’, ‘forbidden love’]."
An AI to help you make your flight,https://www.superhuman.ai/p/ai-help-make-flight,Weekly Scheduling for All,"Prompt: Create a healthy weekly schedule for someone who works five days per week 8am-5pm, and enjoys yoga, walks, and home workouts. I don’t need help planning my work time."
Biological discovery made easy with AI,https://www.superhuman.ai/p/biological-discovery-made-easy-ai,Friday FunDay – Game Night,"Prompt: I’m hosting a gaming night for my friends. Suggest [5 multiplayer games] suitable for a group setting, with brief [descriptions] and [required equipment or setups]."
OpenAI is working on an AI search engine,https://www.superhuman.ai/p/openai-working-ai-search-engine,Titolo del prompt non trovato.,"Prompt: a photo, 20 mm 500T film grain, low angle shot, a mega Mech Aztec dam made of mechanical parts decorated with Aztec mosaics, plants surrounding the architectures, glowing neon displays about Aztec symbols, multiple waterfalls alongside the bridge, depth of the forest, humid, little fog, ambient lights on the dam, immersive. busy Aztec people on the dam

--ar 1:1"
Apple's AI plans start to take shape,https://www.superhuman.ai/p/apples-ai-plans-start-take-shape,Thank you very much,Prompt: Produce an email to thank my employees for (insert what you are thankful for).
AI above the clouds,https://www.superhuman.ai/p/ai-clouds,SOS SEO,"Prompt: Using [insert topic here, ex:‘sustainable fashion’] as the central seed keyword, identify 15 long-tail keywords that potential customers might use when they look for [insert topic here again, ex: 'eco-friendly and affordable clothing options'].

Follow-Up Prompt: Which three of the 15 long-tail keywords do you think have the most commercial intent, and why?"
A new AI copilot for developers,https://www.superhuman.ai/p/new-ai-copilot-developers,Write a personalized meditation script,"You are a meditation teacher who will create a 5-minute guided meditation for a client. In your script, you will incorporate inputs based on two variables: [Mood] and [Happy Place]

[Mood] is an emotion like relaxed, happy, anxious, sad, worried, etc. You will want to acknowledge the mood and tailor the script to help your client process that emotion.

[Happy Place] is the environment you will have the client visualize throughout the meditation."
Academics can’t decide how AI will shape the economy,https://www.superhuman.ai/p/academics-cant-decide-ai-will-shape-economy,Convert any file on ChatGPT,"Convert the attached file from [current file format] to [desired file format]

[Attach file]"
Countries are filling the AI investment gap,https://www.superhuman.ai/p/countries-filling-ai-investment-gap,Breaking the ice on LinkedIn,Give me content to start a conversation with a new connection on LinkedIn by sharing a recent industry news article or asking about their latest professional achievement. Start the dialogue on a positive and engaging note. Keep the tone conversational and limit the words to 100.
Meta's rocky AI start,https://www.superhuman.ai/p/metas-rocky-ai-start,Use AI as a language learning companion,Imagine you’re [who] in [what situation]. Ask me [what to do or talk about]. Then give me feedback on how well I did and how I could improve.
GPT-2: The mystery AI model,https://www.superhuman.ai/p/gpt2-mystery-ai-model,No Writer’s Block Here,"Prompt: How can I introduce unexpected plot twists that enhance the tension and intrigue in my novel, keeping readers on the edge of their seats?

For context: My novel is about [enter details here, such as location, characters, plot lines, relationships, etc...]"
Chinese AI startups spring a major surprise,https://www.superhuman.ai/p/chinese-ai-startups-spring-major-surprise,Motivation Monday,Prompt: Create a series of coding challenges to enhance my problem-solving skills in Java.
Apple shows off 8 new AI models,https://www.superhuman.ai/p/apple-shows-off-8-new-ai-models,Friday Funday - Green Thumb,Prompt: What are some basic gardening tips for beginners looking to cultivate their own green space?
The Rabbit AI device is an unfinished hit,https://www.superhuman.ai/p/rabbit-ai-device-unfinished-hit,Supplier Relationship Management,"Prompt: [Company name, designation in the company, name of your supplier, duration of contract, other metrics like frequency of order, pricing, and quantity] Based on the data provided, provide a detailed strategy on how to improve supplier relationship management.

Example: [XYZ company, procurement manager at XYZ company, Supplier name X, 3-year supplier contract with 1 year pending, order placing frequency with supplier is 3 times a month for 12 months, the per unit cost is $10 and 4000 units are included per order bringing the per order value to $4000. The total units delivered per month is 12,000 units. Our target is to maintain the number of units purchased but receive an economies of scale discount.] With the data provided, formulate a strong supplier relationship management strategy to continue the supplier relationship while also achieving our target."
Microsoft’s tiny new model that packs a serious punch,https://www.superhuman.ai/p/microsofts-tiny-new-model-packs-serious-punch,Marketing Win,"Prompt: Create an advertising campaign about [company, product, or service] targeting [target audience]. Include key messages and slogans and choose the best media channels for promotions."
Llama is taking AI by storm 🌪️,https://www.superhuman.ai/p/llama-taking-ai-storm,Level Up,Prompt: Help me create a 60-second elevator pitch that highlights my key skills and experiences relevant to the job I'm applying for.
AI assistants are coming soon,https://www.superhuman.ai/p/ai-assistants-coming-soon,Business Analysis,"Prompt: Analyze the current state of [insert industry here] and its trends, challenges, and opportunities, including relevant data and statistics. Provide a list of key players and a short and long-term industry forecast, and explain any potential impact of current events or future developments."
Meta's Llama 3 is here,https://www.superhuman.ai/p/metas-llama-3,Friday Funday - Party Plan,"Prompt: I am having a small party/get-together this weekend with 8-10 friends. I live in San Diego, CA, where the weather is quite warm all year – and plan to have a bbq in my backyard. Can you put together some good party food for us and send me the list of ingredients I'll need as well as recipes?"
"A new ""super-humanoid"" robot",https://www.superhuman.ai/p/new-superhumanoid-robot,CX EXPERT,"Prompt: Pretend you are the Head of Customer Experience for a company that focuses on [insert product/industry here]. Read through the customer feedback provided and find any patterns. Provide insight on customer concerns, emotions, or potential problems. [insert all customer feedback copy here]."
Another blow to China's AI ambitions,https://www.superhuman.ai/p/another-blow-chinas-ai-ambitions,A to-do list for your to-do list,"Prompt: Assess my list of tasks below. Consider factors such as deadlines, project impact, required effort, and any recent updates or new tasks added since the last assessment. Prioritize these tasks based on urgency and impact, creating an updated priority list and ensuring I am concentrating on what moves the needle most for [specific project or business area]. Provide your reasoning for each recommendation."
Stanford's index report on AI,https://www.superhuman.ai/p/stanfords-index-report-ai,Chore enough,"Prompt: Help me make a chore chart suitable for two siblings, a seven-year-old and a ten-year-old. 

They both should share the chores, but not necessarily evenly. The ten-year-old loves vacuuming while the seven-year-old enjoys playing around with the duster. 
The ten-year-old has also shown an interest in cooking, while the seven-year-old still needs to learn to put toys away. 

Please offer a sticker-based chart."
AI's next frontier,https://www.superhuman.ai/p/ais-next-frontier,How to get quality feedback,"Prompt: As an [investor/business owner/magazine editor], please review the following [proposal/project/article] for both strengths and areas for improvement. 

On a scale of 1-10, how would you rate it? Be candid and objective in your feedback. 

Then, please share 5 points that you enjoyed and 5 points of constructive feedback. Help me understand how to make this better."
"Humane's new AI pin, reviewed",https://www.superhuman.ai/p/humanes-new-ai-pin-reviewed,Friday Funday - Pub Fiction,"Prompt: Write the dialogue and script for the following scene: Samuel L Jackson is the guide on a guided bus tour of London's most exciting sites. He hates his job.

Samuel L Jackson's dialogue reads like his lines in action movies: intense, angry, and full of swear words.

On the bus is a frustratingly inquisitive character who makes his day worse. He gets increasingly frustrated and starts arguing with the passenger. 

Be descriptive and specific about the stops on the tour (at least five of them, visited one at a time) and the dialogue between Jackson and the passenger."
The battle for chip supremacy,https://www.superhuman.ai/p/battle-chip-supremacy,Better than a career quiz,"Prompt: I want you to act as a career counselor. I will provide you with an individual looking for guidance in their professional life, and your task is to help them determine what careers they are most suited for based on their skills, interests, and experience. You should also conduct research into the various options available, explain the job market trends in different industries, and advise on which qualifications would be beneficial for pursuing particular fields. My first request is ""I want to advise someone who wants to pursue a potential career in [enter industry/role]."
OpenAI gives GPT-4 a major upgrade,https://www.superhuman.ai/p/openai-gives-gpt4-major-upgrade,Create high-converting website copy,"Prompt: I am creating a landing page about [insert detail]. The goal of the landing page is to [insert a goal, like increasing installs]. Below is a description of the product and the target audience. Generate high-converting copy for the website: [Share details]"
How to plan your career with ChatGPT,https://www.superhuman.ai/p/plan-career-chatgpt,Bonjour!,"Prompt: I am trying to learn [TARGET LANGUAGE]. Please provide a list of basic greetings, common expressions, and basic questions that are used all the time."
AI that can read real-world sensors,https://www.superhuman.ai/p/ai-can-read-realworld-sensors,Back to work,Prompt: Act like an experienced personal trainer who knows the best techniques. Describe a set of stretches and exercises that are proven to help ease back pain.
Robot companions in your home,https://www.superhuman.ai/p/robot-companions-home,Friday Funday,Prompt: Write a sequel for [insert movie here]
AI gadgets are here,https://www.superhuman.ai/p/ai-gadgets,ChefGPT,"Prompt: I have only three ingredients - Onion, tomato, and spinach. Can you show me 3 meals that I can cook with these ingredients?"
AI is heading to the newsrooms,https://www.superhuman.ai/p/ai-heading-newsrooms,Keep your resume ATS-friendly,"Prompt: Review and edit my current resume, focusing on enhancing the clarity and impact of my experience in [Industry/Field]. Strengthen the language to better showcase my achievements, particularly in [Specific Roles or Projects], and ensure the layout is ATS-friendly. Adjust the skills section better to reflect the requirements of [Job Title]."
AI after death,https://www.superhuman.ai/p/ai-death,Brainstorm new ideas,"I am trying to [describe your goal, like writing a blog about a subject]. Give me a list of ideas for the headline, opening line, and topics I should cover."
Stargate is taking flight,https://www.superhuman.ai/p/stargate-taking-flight,Titolo del prompt non trovato.,Prompt: a photo of a [insert room here] in a giant brutalist mansion in Sedona Arizona in a dystopian future --stylize 600
Americans quickly embraced AI,https://www.superhuman.ai/p/americans-quickly-embraced-ai,Titolo del prompt non trovato.,Prompt: a vibrant huge neon mountain with a cave that has vines hanging down the entrance of it
Hume unveils the first AI with emotional intelligence,https://www.superhuman.ai/p/hume-unveils-first-ai-emotional-intelligence,Titolo del prompt non trovato.,Contenuto non trovato.
Anthropic AI's Claude is America's next top model,https://www.superhuman.ai/p/anthropic-ais-claude-americas-next-top-model,Titolo del prompt non trovato.,Contenuto non trovato.
Why AI hasn't replaced writing jobs,https://www.superhuman.ai/p/ai-hasnt-replaced-writing-jobs,Titolo del prompt non trovato.,"Prompt: Poster for the cute Pixar version of the horror movie Midsommar with the Disney logo over the words ""MIDSOMMAR"", a blond Nordic young woman wearing a crown of flowers and a white dress dances in a field of flowers on a beautiful spring day in the cute style of Pixar --ar 4:5"
Will programmers pivot to other careers as AI tools improve,https://www.superhuman.ai/p/will-programmers-pivot-careers-ai-tools-improve,Titolo del prompt non trovato.,Contenuto non trovato.
First Neuralink patient shows off 'telekinetic' powers,https://www.superhuman.ai/p/first-neuralink-patient-shows-off-telekinetic-powers,Titolo del prompt non trovato.,"Prompt: In the spring, green mountains and flowers bloom in colorful tulips, purple peach blossoms, and pink plum trees. Yellow chrysanthemums bloom on hillsides along with red roses. A blue sea of clouds hangs over small houses scattered among the flowers. The sun rises from behind foggy mountain peaks, casting warm light over everything. The sky is colorful in the style of high definition photography."
The US gives Intel a $20bn boost,https://www.superhuman.ai/p/us-gives-intel-20bn-boost,Titolo del prompt non trovato.,Prompt: simple country living in a big city
Microsoft hires Inflection founder as AI CEO,https://www.superhuman.ai/p/microsoft-hires-inflection-founder-ai-ceo,Titolo del prompt non trovato.,Contenuto non trovato.
What to expect at the year's biggest AI conference,https://www.superhuman.ai/p/expect-years-biggest-ai-conference,Titolo del prompt non trovato.,"Prompt: Real Photo of [insert fruit], cute, Pixar Style, Full Color"
Apple's AI comeback,https://www.superhuman.ai/p/apples-ai-comeback,Titolo del prompt non trovato.,Contenuto non trovato.
How AI is helping solve biological mysteries,https://www.superhuman.ai/p/ai-helping-solve-biological-mysteries,Titolo del prompt non trovato.,Contenuto non trovato.
Intelligent robots are now a reality,https://www.superhuman.ai/p/intelligent-robots-now-reality,Titolo del prompt non trovato.,Contenuto non trovato.
The world's first AI software engineer,https://www.superhuman.ai/p/worlds-first-ai-software-engineer,Titolo del prompt non trovato.,Prompt: breaking bad in the style of studio ghibli directed by Hayao Miyazaki
Grok is going open source,https://www.superhuman.ai/p/grok-going-open-source,Titolo del prompt non trovato.,Contenuto non trovato.
OpenAI investigation concludes — but key questions remain,https://www.superhuman.ai/p/openai-investigation-concludes-key-questions-remain,Titolo del prompt non trovato.,Prompt: an image in the EC comics style of the 1950’s of a [insert room] in a nyc penthouse designed in a retro futurist style. - stylize 450
Prompt engineering could be a thing of the past,https://www.superhuman.ai/p/prompt-engineering-thing-past,Titolo del prompt non trovato.,Prompt: Make a mind map that explains business communication
AI comes under scrutiny after new concerns emerge,https://www.superhuman.ai/p/ai-comes-scrutiny-new-concerns-emerge,Titolo del prompt non trovato.,Contenuto non trovato.
OpenAI hits back in Elon Musk lawsuits,https://www.superhuman.ai/p/openai-hits-back-elon-musk-lawsuits,Titolo del prompt non trovato.,Contenuto non trovato.
"Anthropic releases latest version of Claude, claims it beats GPT-4",https://www.superhuman.ai/p/anthropic-releases-latest-version-claude-claims-beats-gpt4,Titolo del prompt non trovato.,Contenuto non trovato.
How Nvidia became a $2 Trillion company,https://www.superhuman.ai/p/also-courtroom-drama-job-search-prompts-looming-deadline,Titolo del prompt non trovato.,Contenuto non trovato.
Elon Musk sues OpenAI,https://www.superhuman.ai/p/elon-musk-sues-openai,Titolo del prompt non trovato.,Prompt: How effective is meditation in reducing stress and anxiety?
Glean raises $200M to become the AI-powered assistant for enterprises,https://www.superhuman.ai/p/glean-raises-200m-become-aipowered-assistant-enterprises,Titolo del prompt non trovato.,"Prompt: A robot in green colour with a sign in its hands that says ""SUPERHUMAN - Get smart about AI""
Preset: Turn on Magic Prompt
Style: Cinematic"
Apple reportedly sacrifices car plans to focus on AI,https://www.superhuman.ai/p/apple-reportedly-sacrifices-car-plans-focus-ai,Titolo del prompt non trovato.,"prompt: apple logo standing in [location]
preset: Cinematic
weight: 8.0"
Powerful new ChatGPT alternatives,https://www.superhuman.ai/p/powerful-new-chatgpt-alternatives,Titolo del prompt non trovato.,Contenuto non trovato.
Our Top 5 AI Tools (and how we use them),https://www.superhuman.ai/p/top-5-ai-tools-use,Titolo del prompt non trovato.,Contenuto non trovato.
Why larger context windows are the next big thing in AI,https://www.superhuman.ai/p/larger-context-windows-next-big-thing-ai,Titolo del prompt non trovato.,Contenuto non trovato.
"Nvidia posts record revenue thanks to booming AI business, declares AI ‘tipping point’",https://www.superhuman.ai/p/nvidia-posts-record-revenue-thanks-booming-ai-business-declares-ai-tipping-point,Titolo del prompt non trovato.,Contenuto non trovato.
Google’s Gemini Pro 1.5 shows impressive recall in early tests,https://www.superhuman.ai/p/googles-gemini-pro-15-shows-impressive-recall-early-tests,Titolo del prompt non trovato.,Contenuto non trovato.
Groq is the lightening fast innovation that could give ChatGPT a run for its money,https://www.superhuman.ai/p/groq-lightening-fast-innovation-give-chatgpt-run-money,Titolo del prompt non trovato.,"Prompt: I've uploaded the transcript for a podcast episode. Generate a summary of the podcast in the following format:

- Create a separate section for each question.
- For each section, summarize the key points from the answers as bullet points.
- Take your time and do it thoroughly. Be very detailed in your answers and do not skip any key points."
Investors spend billions on chip clusters to attract startups,https://www.superhuman.ai/p/investors-spend-billions-chip-clusters-attract-startups,Titolo del prompt non trovato.,Prompt used: transform this sketch into a realistic image
OpenAI announces a new video model,https://www.superhuman.ai/p/openai-announces-new-video-model,Titolo del prompt non trovato.,"Prompt: portrait from 3/4 side of a dog dressed in a jacket and a hat, Wes Anderson style, soft colors, kodachrome photograph --v 6.0 --ar 3:4"
OpenAI is reportedly working on a new search product,https://www.superhuman.ai/p/openai-reportedly-working-new-search-product,Titolo del prompt non trovato.,Contenuto non trovato.
